source,target,relation,region,age_min,age_max,sex_condition,ethnicity_condition,evidence,notes
african_american,bimaxillary_protrusion,baseline_morphology,,,,,African American,Vashi et al.,
african_american,broad_nasal_base,baseline_morphology,,,,,African American,Vashi et al.,
african_american,orbital_proptosis,baseline_morphology,,,,,African American,Vashi et al.,
african_american,prominent_lips,baseline_morphology,,,,,African American,Vashi et al.,
african_american,reduced_nasal_projection,baseline_morphology,,,,,African American,Vashi et al.,
african_american,hyperpigmentation,more_prone_to,entire face,,,,African American,Benton,
african_american,inconsistent_facial_pigmentation,more_prone_to,entire face,,,,African American,Vashi et al.,
alcohol,broken_capillaries,increases_risk,entire face,,,,,Dover Behavioral Health System,
alcohol,dry_skin,increases_risk,entire face,,,,,Dover Behavioral Health System,
alcohol,facial_puffiness,increases_risk,entire face,,,,,Dover Behavioral Health System,
alcohol,facial_redness,increases_risk,nose and neck,,,,,Dover Behavioral Health System,
asian,flat_midface,baseline_morphology,,,,,Asian,Vashi et al.,
asian,full_upper_eyelids,baseline_morphology,,,,,Asian,Vashi et al.,
asian,high_eyebrows,baseline_morphology,,,,,Asian,Vashi et al.,
asian,low_nasal_bridge,baseline_morphology,,,,,Asian,Vashi et al.,
asian,prominent_lips,baseline_morphology,,,,,Asian,Vashi et al.,
asian,receded_chin,baseline_morphology,,,,,Asian,Vashi et al.,
asian,wide_round_face,baseline_morphology,,,,,Asian,Vashi et al.,
asian,lower_face_sagging,more_prone_to,lower face,40,,,Asian,Flament et al.,Source notes thicker dermis and later visible aging signs
caucasian,low_lip_volume,baseline_morphology,,,,,Caucasian,Vashi et al.,
caucasian,narrow_nasal_base,baseline_morphology,,,,,Caucasian,Vashi et al.,
caucasian,sunspots,more_prone_to,face,20,,,Caucasian,Hussein et al.,Source attributes earlier signs partly to lower melanin
diet,general_diet_quality,has_subfactor,,,,,,Wong et al. / Illinois Dermatology Institute,
diet,protein_deficiency,has_subfactor,,,,,,Wong et al. / Illinois Dermatology Institute,
diet,vitamin_a_deficiency,has_subfactor,,,,,,Wong et al. / Illinois Dermatology Institute,
diet,vitamin_a_excess,has_subfactor,,,,,,Wong et al. / Illinois Dermatology Institute,
diet,vitamin_b12_deficiency,has_subfactor,,,,,,Wong et al. / Illinois Dermatology Institute,
diet,vitamin_b2_deficiency,has_subfactor,,,,,,Wong et al. / Illinois Dermatology Institute,
diet,vitamin_b6_deficiency,has_subfactor,,,,,,Wong et al. / Illinois Dermatology Institute,
general_diet_quality,acne,associated_with,T-zone or entire face,,,,,Illinois Dermatology Institute,
general_diet_quality,dry_skin,associated_with,entire face,,,,,Illinois Dermatology Institute,
general_diet_quality,eczema,associated_with,"cheeks, eyes, mouth",,,,,Illinois Dermatology Institute,
hispanic_latino,bimaxillary_protrusion,baseline_morphology,,,,,Hispanic/Latino,Vashi et al.,
hispanic_latino,broad_nose,baseline_morphology,,,,,Hispanic/Latino,Vashi et al.,
hispanic_latino,broad_rounded_face,baseline_morphology,,,,,Hispanic/Latino,Vashi et al.,
hispanic_latino,increased_bizygomatic_width,baseline_morphology,,,,,Hispanic/Latino,Vashi et al.,
hispanic_latino,receded_chin,baseline_morphology,,,,,Hispanic/Latino,Vashi et al.,
hispanic_latino,deep_nasolabial_folds,more_prone_to,entire face,,,,Hispanic/Latino,Benton,
hispanic_latino,hyperpigmentation,more_prone_to,entire face,,,,Hispanic/Latino,Benton,
hispanic_latino,inconsistent_facial_pigmentation,more_prone_to,entire face,,,,Hispanic/Latino,Vashi et al.,
men,crow_feet,more_prone_to,eye corners,,,male,,Flament et al.,
men,forehead_wrinkles,more_prone_to,forehead,20,60,male,,Flament et al.,
protein_deficiency,lanugo_like_hair,associated_with,forehead and ears,,,,,Wong et al.,
smoking,darkened_lips,increases_risk,lips,,,,,Chauhan et al. (PMC),
smoking,dry_skin,increases_risk,entire face,,,,,Swift et al.,
smoking,facial_wrinkles,increases_risk,entire face,20,,,,Koh et al.,Can become visible from around age 20
smoking,jowls,increases_risk,lower cheek and jaw,,,,,Flament et al.,
