source,target,relation,weight,region,age_min,age_max,sex_condition,ethnicity_condition,evidence,notes
african_american,bimaxillary_protrusion,baseline_morphology,1.0,,,,,African American,Vashi et al.,
african_american,broad_nasal_base,baseline_morphology,1.0,,,,,African American,Vashi et al.,
african_american,orbital_proptosis,baseline_morphology,1.0,,,,,African American,Vashi et al.,
african_american,prominent_lips,baseline_morphology,1.0,,,,,African American,Vashi et al.,
african_american,reduced_nasal_projection,baseline_morphology,1.0,,,,,African American,Vashi et al.,
african_american,hyperpigmentation,more_prone_to,1.0,entire face,,,,African American,Benton,
african_american,inconsistent_facial_pigmentation,more_prone_to,1.0,entire face,,,,African American,Vashi et al.,
alcohol,broken_capillaries,increases_risk,1.0,entire face,,,,,Dover Behavioral Health System,
alcohol,dry_skin,increases_risk,1.0,entire face,,,,,Dover Behavioral Health System,
alcohol,facial_puffiness,increases_risk,1.0,entire face,,,,,Dover Behavioral Health System,
alcohol,facial_redness,increases_risk,1.0,nose and neck,,,,,Dover Behavioral Health System,
asian,flat_midface,baseline_morphology,1.0,,,,,Asian,Vashi et al.,
asian,full_upper_eyelids,baseline_morphology,1.0,,,,,Asian,Vashi et al.,
asian,high_eyebrows,baseline_morphology,1.0,,,,,Asian,Vashi et al.,
asian,low_nasal_bridge,baseline_morphology,1.0,,,,,Asian,Vashi et al.,
asian,prominent_lips,baseline_morphology,1.0,,,,,Asian,Vashi et al.,
asian,receded_chin,baseline_morphology,1.0,,,,,Asian,Vashi et al.,
asian,wide_round_face,baseline_morphology,1.0,,,,,Asian,Vashi et al.,
asian,lower_face_sagging,more_prone_to,1.0,lower face,40,,,Asian,Flament et al.,Source notes thicker dermis and later visible aging signs
caucasian,low_lip_volume,baseline_morphology,1.0,,,,,Caucasian,Vashi et al.,
caucasian,narrow_nasal_base,baseline_morphology,1.0,,,,,Caucasian,Vashi et al.,
caucasian,sunspots,more_prone_to,1.0,face,20,,,Caucasian,Hussein et al.,Source attributes earlier signs partly to lower melanin
diet,general_diet_quality,has_subfactor,1.0,,,,,,Wong et al. / Illinois Dermatology Institute,
diet,protein_deficiency,has_subfactor,1.0,,,,,,Wong et al. / Illinois Dermatology Institute,
diet,vitamin_a_deficiency,has_subfactor,1.0,,,,,,Wong et al. / Illinois Dermatology Institute,
diet,vitamin_a_excess,has_subfactor,1.0,,,,,,Wong et al. / Illinois Dermatology Institute,
diet,vitamin_b12_deficiency,has_subfactor,1.0,,,,,,Wong et al. / Illinois Dermatology Institute,
diet,vitamin_b2_deficiency,has_subfactor,1.0,,,,,,Wong et al. / Illinois Dermatology Institute,
diet,vitamin_b6_deficiency,has_subfactor,1.0,,,,,,Wong et al. / Illinois Dermatology Institute,
general_diet_quality,acne,associated_with,1.0,T-zone or entire face,,,,,Illinois Dermatology Institute,
general_diet_quality,dry_skin,associated_with,1.0,entire face,,,,,Illinois Dermatology Institute,
general_diet_quality,eczema,associated_with,1.0,"cheeks, eyes, mouth",,,,,Illinois Dermatology Institute,
hispanic_latino,bimaxillary_protrusion,baseline_morphology,1.0,,,,,Hispanic/Latino,Vashi et al.,
hispanic_latino,broad_nose,baseline_morphology,1.0,,,,,Hispanic/Latino,Vashi et al.,
hispanic_latino,broad_rounded_face,baseline_morphology,1.0,,,,,Hispanic/Latino,Vashi et al.,
hispanic_latino,increased_bizygomatic_width,baseline_morphology,1.0,,,,,Hispanic/Latino,Vashi et al.,
